"Story","Title","Result","Date","Stability","Duration (s)"
"Firstserenity test","Compromised test","ERROR","2020-03-29T23:53:53.793-05:00","0.0","0.48"
"Firstserenity test","Get allstudents","SUCCESS","2020-03-29T23:53:54.302-05:00","0.0","9.29"
"Firstserenity test","Get student with id001","FAILURE","2020-03-29T23:54:03.905-05:00","0.0","0.47"
"Firstserenity test","Get student with id003","ERROR","2020-03-29T23:54:04.378-05:00","0.0","0.35"
"Get studentby id20","Get student wth id001","SUCCESS","2020-03-29T23:51:37.752-05:00","0.0","10.76"
"Get studentby id19","Get student wth id001","SUCCESS","2020-03-29T23:52:24.298-05:00","0.0","12.26"
"Get studentby id18","Get student wth id001","SUCCESS","2020-03-29T23:52:52.903-05:00","0.0","11.58"
"Get studentby id17","Get student wth id001","SUCCESS","2020-03-29T23:53:21.583-05:00","0.0","10.73"
"Firstserenity test","Ignoredtest","IGNORED","2020-03-29T23:54:03.598-05:00","0.0","0.3"
"Firstserenity test","Pending test","PENDING","2020-03-29T23:53:52.543-05:00","0.0","0.75"
